Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,2583716000,5304057000,5167253000,2857503000,561659000,2022057000,198603000,2507867000,25238000,-123786000,19743000.0,123786000,5427843000,2293000,139451000,37893000,483827000,269475000,123786000,195929000,220862000,607613000,645506000,214352000
2022-12-31,USD,2481352000,5229409000,5027574000,2953335000,675515000,1805837000,195451000,2261064000,9398000,-132818000,9400000.0,132818000,5362227000,-47760000,144577000,37602000,529764000,135851000,132818000,368484000,420905000,662582000,700184000,393913000
2021-12-31,USD,2626662000,5085750000,4960208000,2831079000,729562000,1897100000,189372000,2295880000,3503000,-253937000,3500000.0,253937000,5337610000,-8364000,146274000,38039000,482606000,-420381000,355632000,891145000,906292000,736543000,774582000,902987000
2020-12-31,USD,2243103000,4366486000,4413206000,2345330000,374736000,1862709000,189494000,2271783000,3945000,-198332000,3900000.0,198332000,4562121000,-2692000,154526000,38925000,189128000,65549000,198332000,125909000,48487000,387460000,426385000,123579000
2019-12-31,USD,1977341000,4303164000,4764343000,2527230000,37102000,1941539000,197226000,2438744000,6166000,-201044000,6166000.0,201044000,4504208000,-1879000,204406000,40112000,-160426000,58324000,201044000,-213512000,-229008000,40618000,80730000,-218750000
2018-12-31,USD,1798683000,4320577000,4633269000,2716127000,-234349000,1635844000,205368000,2122510000,6463000,-181886000,6463000.0,181886000,4502463000,-5107000,232837000,39095000,-417103000,116196000,181886000,-530961000,-610739000,-235217000,-196122000,-533299000
2017-12-31,USD,1824571000,4885693000,3061122000,3056922000,-335698000,1521366000,225245000,3028975000,7777000,-105214000,7777000.0,105214000,-95176000,-68110000,240818000,23273000,-501245000,553334000,105214000,-1053836000,-893336000,-396031000,-372758000,-1054579000
2016-12-31,USD,2554391000,5456650000,2902259000,2906459000,519233000,1400211000,215304000,2678938000,9144000,-95118000,9144000.0,95118000,-191332000,-31959000,235797000,22215000,409722000,91700000,95118000,318022000,223892000,504840000,527055000,318022000
2015-12-31,USD,2806358000,5702613000,2896255000,33305000,540922000,1547584000,217816000,2953561000,7230000,-85270000,112046000.0,85270000,-34006000,1033000,233025000,27923000,463915000,94499000,85270000,369416000,142606000,549185000,577108000,369416000
2014-12-31,USD,3001022000,6023819000,3022797000,3022800000,653714000,1614065000,209467000,3036530000,7382000,-79271000,,79271000,46887000,5085000,207701000,36704000,586910000,88036000,79271000,498874000,320461000,666181000,702885000,498874000
2013-12-31,USD,3478883000,6484892000,3006009000,3006000000,1168103000,1560575000,201942000,2869173000,5555000,-78505000,,78505000,37572000,3975000,179333000,12575000,1099128000,195184000,78505000,903944000,924754000,1177633000,1190208000,903944000
2012-12-31,USD,3409197000,6420881000,3011684000,3011700000,1021015000,1670379000,195070000,3032012000,6841000,-88835000,,88835000,63519000,6024000,157536000,11880000,945045000,168581000,88835000,776464000,758623000,1033880000,1045760000,776464000
2011-12-31,USD,3145826000,6266037000,3120211000,3120211000,1041101000,1405478000,178982000,2014032000,8093000,-75332000,,75332000,32451000,-3189000,147458000,8880000,970673000,202165000,75332000,768508000,681062000,1046005000,1054885000,768508000
2010-12-31,USD,2954973000,5856195000,2901222000,2901222000,901902000,1405801000,173927000,2573563000,8434000,-64839000,,64839000,36404000,1328000,149977000,10362000,846825000,161962000,64839000,684863000,705198000,911664000,922026000,684863000
2009-12-31,USD,2714697000,5359003000,4710824000,2716149000,731168000,1373776000,171279000,2066518000,8083000,-71843000,,71843000,73904000,-7361000,152065000,13027000,660047000,131343000,71843000,528704000,579805000,731890000,744917000,528704000
