Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,9239000000,21365000000,12126000000,665000000,5835000000,8328000000,,15530000000,1020000000,-897000000,914000000.0,897000000,-348000000,543000000,282000000,504000000,5481000000,1192000000,897000000,4289000000,4233000000,5835000000,6882000000,4289000000
2022-12-31,USD,7247000000,17090000000,9843000000,607000000,5102000000,6927000000,,11988000000,219000000,-391000000,219000000.0,391000000,-43000000,-788000000,227000000,451000000,3923000000,865000000,391000000,3058000000,2935000000,5102000000,4765000000,3058000000
2021-12-31,USD,3789000000,10958000000,7169000000,599000000,2496000000,4421000000,,8462000000,16000000,-334000000,16000000.0,334000000,-131000000,-697000000,259000000,421000000,1465000000,300000000,576000000,1165000000,1139000000,2496000000,2220000000,1165000000
2020-12-31,USD,423000000,6796000000,6373000000,642000000,-631000000,2760000000,,7427000000,54000000,-356000000,54000000.0,356000000,-207000000,1554000000,291000000,458000000,567000000,508000000,356000000,59000000,132000000,-631000000,1381000000,59000000
2019-12-31,USD,11552000000,15066000000,3514000000,641000000,5345000000,797000000,285000000.0,9721000000,152000000,-266000000,152000000.0,266000000,-31000000,879000000,294000000,469000000,5958000000,1093000000,266000000,4865000000,4990000000,5345000000,6693000000,4865000000
2018-12-31,USD,11355000000,14527000000,3172000000,242000000,5341000000,699000000,233000000.0,9186000000,187000000,-269000000,187000000.0,269000000,0,-237000000,248000000,426000000,4835000000,837000000,269000000,3998000000,3685000000,5341000000,5530000000,3998000000
2017-12-31,USD,12439000000,12681000000,242000000,242000000,4538000000,1147499000,189344000.0,7901000000,157000000,-253976000,24000.0,254000000,-2366000,114306000,187231000,363000000,4398765000,2058000000,256342000,2340765000,2714000000,4538000000,5015765000,2340765000
2016-12-31,USD,10328000000,10743000000,415000000,415000000,2906000000,891134000,142393000.0,7422000000,94946000,-207900000,100000.0,208000000,0,14825000,140059000,309000000,2712987000,578000000,207900000,2134987000,1755000000,2906000000,3229987000,2134987000
2015-12-31,USD,8591807000,9063755000,1673315000,632180000,3258907000,768641000,113617000.0,5332900000,55729000,-160229000,130587000.0,160229000,-3000,29642000,101517000,272494000,3128320000,576960000,160232000,2551360000,3056114000,3258907000,3561043000,2551360000
2014-12-31,USD,7584130000,8347348000,1736340000,857841000,3073312000,663779000,97498000.0,4510818000,13933000,-88353000,,88353000,-6270000,4489000,78241000,207820000,2989448000,567695000,94623000,2421753000,2077122000,3073312000,3285621000,2421753000
2013-12-31,USD,5715886000,6683356000,1684206000,1077420000,2412414000,488811000,71890000.0,3303472000,4167000,-83289000,,83289000,-26661000,-32588000,48365000,117975000,2296537000,403739000,109950000,1892798000,2001068000,2412414000,2497801000,1892798000
2012-12-31,USD,4083681000,5198892000,1611521000,1177275000,1829793000,369105000,43685000.0,2253888000,3860000,-62064000,,62064000,0,-5860000,32818000,65141000,1757398000,337832000,62064000,1424037000,1483472000,1819462000,1884603000,1419566000
2011-12-31,USD,3079880000,4323857000,1615896000,1275730000,1398922000,286342000,33813000.0,1680958000,8119000,-31721000,,31721000,-32000,593000,20648000,53824000,1365035000,308663000,31753000,1059131000,1001678000,1396756000,1450580000,1056372000
2010-12-31,USD,1908971000,3043627000,1419185000,1175934000,786797000,197488000,20998000.0,1122174000,3857000,-29944000,,29944000,-11334000,-10570000,16209000,45763000,745682000,218141000,41278000,528142000,493894000,775626000,821389000,527541000
