Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,27234000000,45754000000,18520000000,18520000000,11311000000,13972000000,,15579000000,907000000,-1527000000,907000000.0,1527000000,-123000000,570000000,1018000000,94000000,12963000000,2249000000,1527000000,10703000000,11334000000,14490000000,14584000000,10714000000
2022-12-31,USD,25004000000,43004000000,18000000000,18000000000,10909000000,12880000000,,14181000000,449000000,-882000000,1039000000.0,882000000,-207000000,-262000000,1125000000,120000000,11657000000,2115000000,882000000,9571000000,8977000000,12539000000,12659000000,9542000000
2021-12-31,USD,23298000000,38655000000,15357000000,15357000000,10308000000,12144000000,,11790000000,276000000,-1597000000,276000000.0,1597000000,-574000000,2000000000,1262000000,165000000,12392000000,2621000000,2156000000,9804000000,10042000000,13989000000,14154000000,9771000000
2020-12-31,USD,19581000000,33014000000,13433000000,13433000000,8997000000,9731000000,,10163000000,370000000,-1437000000,89000000.0,1437000000,-393000000,841000000,1301000000,203000000,9728000000,1981000000,1896000000,7768000000,6690000000,11165000000,11368000000,7747000000
2019-12-31,USD,22647000000,37266000000,14619000000,14619000000,10086000000,12103000000,,13245000000,563000000,-946000000,563000000.0,946000000,-64000000,34000000,1208000000,120000000,10721000000,1801000000,946000000,8985000000,8754000000,11667000000,11787000000,8920000000
2018-12-31,USD,21233000000,34300000000,13067000000,13067000000,9152000000,11002000000,,12267000000,682000000,-919000000,31000000.0,950000000,73000000,-1674000000,999000000,49000000,8183000000,1749000000,892000000,6734000000,4334000000,9133000000,9182000000,6434000000
2017-12-31,USD,22491000000,36212000000,13721000000,13721000000,7755000000,12834000000,,14970000000,677000000,-841000000,12000000.0,853000000,151000000,-1763000000,1131000000,68000000,6855000000,5607000000,879000000,1181000000,2148000000,7708000000,7776000000,1248000000
2016-12-31,USD,25398000000,41863000000,16465000000,16465000000,8657000000,15370000000,,17070000000,642000000,-733000000,642000000.0,733000000,-478000000,-1265000000,1575000000,139000000,8113000000,1586000000,1053000000,6527000000,5496000000,8846000000,8985000000,6527000000
2015-12-31,USD,26812000000,43555000000,37604000000,19982000000,8728000000,16427000000,,17248000000,613000000,-856000000,2031000000.0,856000000,117000000,631000000,1735000000,156000000,9590000000,2239000000,1176000000,7351000000,2954000000,10446000000,10602000000,7351000000
2014-12-31,USD,28109000000,44269000000,38469000000,20589000000,9708000000,17218000000,,18711000000,594000000,-483000000,,483000000,-1246000000,-1263000000,1716000000,168000000,9299000000,2201000000,483000000,7124000000,4753000000,9782000000,9950000000,7098000000
2013-12-31,USD,28433000000,47032000000,38791000000,21121000000,10228000000,17310000000,,17463000000,534000000,-463000000,,463000000,641000000,576000000,1727000000,165000000,11435000000,2851000000,463000000,8626000000,8537000000,11898000000,12063000000,8584000000
2012-12-31,USD,28964000000,47759000000,39780000000,21853000000,10779000000,17738000000,,18485000000,471000000,-397000000,,397000000,98000000,137000000,1704000000,173000000,11742000000,2723000000,397000000,9086000000,8408000000,12139000000,12312000000,9019000000
2011-12-31,USD,28327000000,46350000000,38898000000,20616000000,10173000000,17422000000,,18833000000,483000000,-417000000,,417000000,220000000,529000000,1654000000,192000000,11396000000,2812000000,417000000,8634000000,7319000000,11813000000,12005000000,8584000000
2010-12-31,USD,22426000000,34386000000,26431000000,12693000000,8413000000,13194000000,,14851000000,317000000,-733000000,,733000000,645000000,5185000000,1188000000,102000000,14157000000,2370000000,733000000,12592000000,11116000000,14890000000,14992000000,11787000000
2009-12-31,USD,19902000000,30635000000,22446000000,11088000000,8231000000,11358000000,,12026000000,249000000,-355000000,,355000000,43000000,40000000,1005000000,63000000,8864000000,2040000000,355000000,7261000000,6824000000,9219000000,9282000000,6824000000
