Fiscal Date Ending,Reported Currency,Gross Profit,Total Revenue,Cost of Revenue,Cost of Goods and Services Sold,Operating Income,"Selling, General and Administrative",Research and Development,Operating Expenses,Investment Income Net,Net Interest Income,Interest Income,Interest Expense,Non-Interest Income,Other Non-Operating Income,Depreciation,Depreciation and Amortization,Income Before Tax,Income Tax Expense,Interest and Debt Expense,Net Income from Continuing Operations,Comprehensive Income Net of Tax,EBIT,EBITDA,Net Income
2023-12-31,USD,14007929000,33723297000,19715368000,19715368000,6954003000,6110168000,2675758000,8785926000,,-699826000,,699826000,-176296000.0,,,14554384000,6205405000,797415000,699826000,5407990000,5401351000,6905231000,21508387000,5407990000
2022-12-31,USD,12447265000,31615550000,19168285000,19168285000,5632831000,5689393000,2711041000,8400434000,,-706212000,337310000.0,706212000,353111000.0,337310000.0,,14700124000,5263929000,772005000,706212000,4491924000,4315113000,5970141000,20332955000,4491924000
2021-12-31,USD,12365161000,29697844000,17332683000,17332683000,6194509000,5565767000,2273885000,5565767000,,-765620000,411214000.0,765620000,430661000.0,411214000.0,,12849993000,5840103000,723875000,765620000,5116228000,5031335000,6605723000,19044502000,5116228000
2020-12-31,USD,9719737000,24996056000,15276319000,15276319000,4585289000,4751848000,1829600000,6735848000,,-767499000,1385940000.0,767499000,-533278000.0,-618441000.0,,10922622000,3199349000,437954000,767499000,2761395000,2829314000,3966848000,15507911000,2761395000
2019-12-31,USD,7716234000,20156447000,12440213000,12440213000,2604254000,5445831000,1673000000,7118831000,,-626023000,84000000.0,626023000,45576000.0,84000000.0,,9403826000,2062231000,195315000,626023000,1866916000,1862977000,2688254000,12008080000,1866916000
2018-12-31,USD,5826803000,15794341000,9967538000,9967538000,1605226000,4807763000,1218000000,7869871000,,-420493000,41725000.0,420493000,73953000.0,41725000.0,,7656457000,1226458000,15216000,420493000,1211242000,1212217000,1646951000,9303408000,1211242000
2017-12-31,USD,3659713000,11692713000,8033000000,7659666000,838679000,3232690000,981000000,6130336000,,-238204000,115154000.0,238204000,-127900000.0,-115154000.0,,6330385000,485321000,-73608000,238204000,558929000,586937000,723525000,7169064000,558929000
2016-12-31,USD,2800768000,8830669000,6257462000,6029901000,379793000,2411277000,768000000,4609474000,,-150114000,30828000.0,150114000,22800000.0,30828000.0,,4924978000,260507000,73829000,150114000,186678000,181421000,410621000,5335599000,186678000
2015-12-31,USD,2188035000,6779511000,4591476000,4591476000,305826000,1945721000,570000000,3654626000,,-132716000,163941000.0,132716000,37300000.0,-31225000.0,,3547045000,141885000,19244000,132716000,122641000,83779000,274601000,3852871000,122641000
2014-12-31,USD,1751896000,5504656000,3752760000,3752760000,402648000,1410027000,398200000,2624410000,,-50219000,,50219000,-8200000.0,-3060000.0,,2781798000,349369000,82570000,50219000,266799000,258778000,399588000,3184446000,266799000
2013-12-31,USD,1257359000,4374562000,3117203000,3083256000,228347000,1122090000,378769000,2114200000,,-29142000,,29142000,-33529000.0,-28131000.0,,2241680000,171074000,58671000,54271000,112403000,113059000,200216000,2470027000,112403000
2012-12-31,USD,983416000,3609282000,2652058000,2625866000,49992000,981616000,329008000,1824774000,,-19986000,,19986000,-4000000.0,474000.0,,45469000,30480000,13328000,19986000,17152000,19365000,50466000,95935000,17152000
2011-12-31,USD,1164676000,3204577000,2039901000,1789596000,376068000,819675000,259033000,788608000,,-20025000,,20025000,0.0,-16546000.0,,43747000,359522000,133396000,20025000,226126000,226082000,379547000,423294000,226126000
2010-12-31,USD,805270000,2162625000,1357355000,1154109000,283641000,364394000,163329000,521629000,,-19629000,,19629000,,-15945000.0,,38099000,267696000,106843000,19629000,160853000,161330000,287325000,325424000,160853000
2009-12-31,USD,590998000,1670269000,1079271000,909461000,191939000,289077000,114542000,399059000,,-6475000,,6475000,,6728000.0,,38044000,192192000,76332000,6475000,115860000,116049000,198667000,236711000,115860000
